ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
211029_x_at	0.196923	4.42e-02	-2.32	-4.26517	-0.68154052	FGF18	fibroblast growth factor 18
221818_at	0.196923	4.42e-02	2.32	-4.26523	0.2444766	INTS5	integrator complex subunit 5
201520_s_at	0.19696	4.42e-02	-2.32	-4.2656	-0.2113626	GRSF1	G-rich RNA sequence binding factor 1
215070_x_at	0.197002	4.42e-02	-2.32	-4.26604	-0.40358738	RABGAP1	RAB GTPase activating protein 1
204186_s_at	0.197002	4.42e-02	-2.32	-4.26635	-0.27714563	PPID	peptidylprolyl isomerase D
202734_at	0.197002	4.42e-02	2.32	-4.26652	0.23377551	TRIP10	thyroid hormone receptor interactor 10
218747_s_at	0.197002	4.43e-02	-2.32	-4.26663	-0.44174156	TAPBPL	TAP binding protein like
205020_s_at	0.197002	4.43e-02	2.32	-4.26688	0.83580775	ARL4A	ADP ribosylation factor like GTPase 4A
221970_s_at	0.197002	4.43e-02	-2.32	-4.26694	-0.2550755	NOL11	nucleolar protein 11
219906_at	0.197076	4.43e-02	-2.32	-4.2679	-0.26547181	EBLN2	endogenous Bornavirus-like nucleoprotein 2
222054_at	0.197076	4.43e-02	-2.32	-4.26804	-0.34971344	PPIEL	peptidylprolyl isomerase E like pseudogene
205651_x_at	0.197076	4.43e-02	-2.32	-4.26805	-0.45426921	RAPGEF4	Rap guanine nucleotide exchange factor 4
204000_at	0.197076	4.43e-02	-2.32	-4.26835	-0.27498986	GNB5	G protein subunit beta 5
212806_at	0.197076	4.43e-02	-2.32	-4.26839	-1.41595193	PRUNE2	prune homolog 2
200621_at	0.197076	4.43e-02	2.32	-4.26843	0.77252424	CSRP1	cysteine and glycine rich protein 1
221555_x_at	0.197088	4.44e-02	-2.32	-4.26877	-0.37478158	CDC14B	cell division cycle 14B
208873_s_at	0.197088	4.44e-02	-2.32	-4.26898	-0.31723682	REEP5	receptor accessory protein 5
221752_at	0.197088	4.44e-02	2.32	-4.26907	0.3338595	SSH1	slingshot protein phosphatase 1
220883_at	0.197174	4.44e-02	-2.32	-4.26987	-0.14327282	PRO2012	uncharacterized protein PRO2012
205787_x_at	0.197174	4.44e-02	-2.32	-4.26999	-0.30760664	LOC441155///ZC3H11A	zinc finger CCCH-type domain-containing-like///zinc finger CCCH-type containing 11A
206657_s_at	0.197174	4.44e-02	2.32	-4.27018	0.26020901	MYOD1	myogenic differentiation 1
202449_s_at	0.197174	4.44e-02	-2.32	-4.27048	-0.2035658	RXRA	retinoid X receptor alpha
202491_s_at	0.197174	4.44e-02	-2.32	-4.27058	-0.37589816	IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein
209745_at	0.197174	4.44e-02	-2.32	-4.27062	-0.20053508	COQ7	coenzyme Q7, hydroxylase
207854_at	0.197181	4.45e-02	-2.32	-4.27087	-0.22366193	GYPE	glycophorin E (MNS blood group)
203819_s_at	0.197181	4.45e-02	2.32	-4.2712	1.42575498	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
213313_at	0.197181	4.45e-02	-2.32	-4.27122	-0.73110137	RABGAP1	RAB GTPase activating protein 1
210883_x_at	0.197204	4.45e-02	2.32	-4.27173	0.224644	EFNB3	ephrin B3
213149_at	0.197204	4.45e-02	-2.32	-4.27173	-0.24048353	DLAT	dihydrolipoamide S-acetyltransferase
202356_s_at	0.197204	4.45e-02	2.32	-4.27191	0.24048903	GTF2F1	general transcription factor IIF subunit 1
205464_at	0.197204	4.45e-02	2.32	-4.27209	0.18089983	SCNN1B	sodium channel epithelial 1 beta subunit
204332_s_at	0.19723	4.45e-02	-2.32	-4.27255	-0.39732171	AGA	aspartylglucosaminidase
212519_at	0.19723	4.45e-02	2.32	-4.27266	0.19799009	UBE2E1	ubiquitin conjugating enzyme E2 E1
211824_x_at	0.19723	4.45e-02	-2.32	-4.27278	-0.42344829	NLRP1	NLR family pyrin domain containing 1
214885_at	0.197235	4.46e-02	2.32	-4.27299	0.14721272	KAT8	lysine acetyltransferase 8
220410_s_at	0.197264	4.46e-02	-2.32	-4.27332	-0.2757772	CAMSAP1	calmodulin regulated spectrin associated protein 1
210809_s_at	0.197406	4.46e-02	2.32	-4.27419	0.75153169	POSTN	periostin
213711_at	0.19742	4.46e-02	2.32	-4.27451	0.23034238	KRT81	keratin 81
203444_s_at	0.19742	4.46e-02	2.32	-4.27464	0.2119636	MTA2	metastasis associated 1 family member 2
205516_x_at	0.197613	4.47e-02	2.32	-4.27575	0.24309365	CIZ1	CDKN1A interacting zinc finger protein 1
215580_at	0.197834	4.47e-02	2.31	-4.277	0.17922268	MCM3AP	minichromosome maintenance complex component 3 associated protein
221741_s_at	0.197859	4.48e-02	-2.31	-4.2774	-0.17618593	YTHDF1	YTH N6-methyladenosine RNA binding protein 1
207458_at	0.197859	4.48e-02	2.31	-4.2775	0.1396254	RHPN1-AS1	RHPN1 antisense RNA 1 (head to head)
216109_at	0.197967	4.48e-02	-2.31	-4.2785	-0.83825986	MED13L	mediator complex subunit 13 like
212295_s_at	0.197967	4.48e-02	2.31	-4.27855	0.49320151	SLC7A1	solute carrier family 7 member 1
201668_x_at	0.197967	4.48e-02	2.31	-4.27863	0.50835298	MARCKS	myristoylated alanine rich protein kinase C substrate
213067_at	0.197967	4.48e-02	2.31	-4.27877	1.13750779	MYH10	myosin, heavy chain 10, non-muscle
211406_at	0.198073	4.49e-02	2.31	-4.27947	0.37618205	IER3IP1	immediate early response 3 interacting protein 1
208723_at	0.198094	4.49e-02	2.31	-4.28016	0.19316955	USP11	ubiquitin specific peptidase 11
207376_at	0.198094	4.49e-02	2.31	-4.2804	0.22697182	VENTX	VENT homeobox
221056_x_at	0.198094	4.49e-02	2.31	-4.28041	0.19485759	EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1
218766_s_at	0.198094	4.49e-02	-2.31	-4.28048	-0.43405899	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial
217430_x_at	0.198094	4.49e-02	2.31	-4.28062	0.30193761	COL1A1	collagen type I alpha 1 chain
209519_at	0.198094	4.49e-02	-2.31	-4.2807	-0.19353614	NCBP1	nuclear cap binding protein subunit 1
213178_s_at	0.198103	4.49e-02	2.31	-4.28093	0.20383075	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3
214828_s_at	0.198114	4.49e-02	-2.31	-4.28117	-0.30477187	RRP7BP///RRP7A	ribosomal RNA processing 7 homolog B, pseudogene///ribosomal RNA processing 7 homolog A
204194_at	0.198223	4.50e-02	-2.31	-4.282	-0.50696625	BACH1	BTB domain and CNC homolog 1
201629_s_at	0.198223	4.50e-02	-2.31	-4.28207	-0.1798415	ACP1	acid phosphatase 1, soluble
216998_s_at	0.198254	4.50e-02	2.31	-4.28241	0.23877058	ADAM5	ADAM metallopeptidase domain 5 (pseudogene)
221416_at	0.198311	4.50e-02	2.31	-4.28305	0.32671713	PLA2G2F	phospholipase A2 group IIF
217838_s_at	0.198311	4.50e-02	2.31	-4.28306	0.49116007	EVL	Enah/Vasp-like
204973_at	0.198312	4.50e-02	2.31	-4.28353	0.17965421	GJB1	gap junction protein beta 1
212322_at	0.198312	4.50e-02	2.31	-4.28353	0.49771816	SGPL1	sphingosine-1-phosphate lyase 1
212318_at	0.198312	4.51e-02	2.31	-4.28364	0.19490557	TNPO3	transportin 3
221455_s_at	0.198312	4.51e-02	2.31	-4.28382	0.23979711	LOC101929777///WNT3	uncharacterized LOC101929777///Wnt family member 3
207233_s_at	0.198552	4.51e-02	-2.31	-4.28515	-0.88227104	MITF	melanogenesis associated transcription factor
219755_at	0.19861	4.51e-02	2.31	-4.28562	0.25642243	CBX8	chromobox 8
220809_at	0.198678	4.52e-02	2.31	-4.28615	0.21481883		
212098_at	0.198678	4.52e-02	-2.31	-4.28632	-0.5329822	MGAT5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
206263_at	0.198775	4.52e-02	-2.31	-4.28701	-0.27223209	FMO4	flavin containing monooxygenase 4
202653_s_at	0.198775	4.52e-02	-2.31	-4.28721	-0.16206484	MARCH7	membrane associated ring-CH-type finger 7
201867_s_at	0.198775	4.52e-02	2.31	-4.28734	0.52644414	TBL1X	transducin (beta)-like 1X-linked
216246_at	0.198864	4.53e-02	2.31	-4.28796	0.39973728		
208538_at	0.198975	4.53e-02	2.31	-4.28867	0.14587339	ANP32C	acidic nuclear phosphoprotein 32 family member C
210976_s_at	0.199026	4.53e-02	-2.31	-4.28928	-0.26934124	PFKM	phosphofructokinase, muscle
202473_x_at	0.199026	4.53e-02	2.31	-4.28929	0.21183868	HCFC1	host cell factor C1
209268_at	0.1992	4.54e-02	-2.31	-4.29046	-0.23480532	VPS45	vacuolar protein sorting 45 homolog
211863_x_at	0.1992	4.54e-02	-2.31	-4.29067	-0.21311455	HFE	hemochromatosis
208347_at	0.1992	4.54e-02	2.31	-4.29091	0.30379307		
215210_s_at	0.1992	4.54e-02	-2.31	-4.291	-0.31832013	DLST	dihydrolipoamide S-succinyltransferase
214646_at	0.1992	4.54e-02	2.31	-4.29106	0.25375867	HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A	histone cluster 1, H3f///histone cluster 1, H3b///histone cluster 1, H3h///histone cluster 1, H3j///histone cluster 1, H3g///histone cluster 1, H3i///histone cluster 1, H3e///histone cluster 1, H3c///histone cluster 1, H3d///histone cluster 1, H3a
201358_s_at	0.199212	4.54e-02	2.31	-4.2913	0.1594142	COPB1	coatomer protein complex subunit beta 1
207025_at	0.19924	4.54e-02	2.31	-4.29163	0.25218783	GJC2	gap junction protein gamma 2
205691_at	0.19924	4.54e-02	-2.31	-4.29181	-0.77840768	SYNGR3	synaptogyrin 3
208524_at	0.199271	4.55e-02	2.30	-4.29215	0.19412277	GPR15	G protein-coupled receptor 15
220924_s_at	0.199298	4.55e-02	-2.30	-4.29246	-0.35688486	SLC38A2	solute carrier family 38 member 2
218765_at	0.199301	4.55e-02	2.30	-4.29266	0.28203996	SIDT2	SID1 transmembrane family member 2
207566_at	0.199461	4.55e-02	-2.30	-4.29361	-0.39031729	MR1	major histocompatibility complex, class I-related
202358_s_at	0.199464	4.55e-02	-2.30	-4.29396	-0.27598635	SNX19	sorting nexin 19
208078_s_at	0.199464	4.55e-02	2.30	-4.294	0.87285053	SIK1	salt inducible kinase 1
219821_s_at	0.199639	4.56e-02	2.30	-4.29502	0.24883777	GFOD1	glucose-fructose oxidoreductase domain containing 1
214065_s_at	0.199863	4.57e-02	2.30	-4.2964	0.22937274	CIB2	calcium and integrin binding family member 2
214940_s_at	0.199863	4.57e-02	2.30	-4.29672	0.35444471	SMG6	SMG6, nonsense mediated mRNA decay factor
209613_s_at	0.199863	4.57e-02	-2.30	-4.29682	-2.98743656	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
214450_at	0.199863	4.57e-02	2.30	-4.29683	0.25151396	CTSW	cathepsin W
201731_s_at	0.200056	4.57e-02	-2.30	-4.29793	-0.19856265	TPR	translocated promoter region, nuclear basket protein
203965_at	0.200105	4.58e-02	2.30	-4.29835	0.17232471	USP20	ubiquitin specific peptidase 20
211257_x_at	0.200243	4.58e-02	-2.30	-4.29919	-0.25588801	ZNF638	zinc finger protein 638
203549_s_at	0.200348	4.58e-02	2.30	-4.29998	0.1984146	LPL	lipoprotein lipase
216887_s_at	0.200348	4.58e-02	2.30	-4.30006	0.21115185	LDB3	LIM domain binding 3
209952_s_at	0.200433	4.59e-02	2.30	-4.30065	0.21656717	MAP2K7	mitogen-activated protein kinase kinase 7
202404_s_at	0.200449	4.59e-02	2.30	-4.30093	0.19302151	COL1A2	collagen type I alpha 2 chain
204047_s_at	0.200449	4.59e-02	2.30	-4.3011	0.70781008	PHACTR2	phosphatase and actin regulator 2
204586_at	0.200511	4.59e-02	2.30	-4.30184	0.14791075	BSN	bassoon presynaptic cytomatrix protein
214199_at	0.200511	4.59e-02	2.30	-4.30202	0.27755242	SFTPD	surfactant protein D
221738_at	0.200511	4.59e-02	-2.30	-4.30203	-0.27233588	RALGAPB	Ral GTPase activating protein non-catalytic beta subunit
214278_s_at	0.200511	4.59e-02	2.30	-4.30227	0.19436325	NDRG2	NDRG family member 2
218277_s_at	0.200511	4.59e-02	-2.30	-4.30232	-0.21419424	DHX40	DEAH-box helicase 40
213049_at	0.200649	4.60e-02	-2.30	-4.30316	-0.41388995	RALGAPA1	Ral GTPase activating protein catalytic alpha subunit 1
200803_s_at	0.200851	4.60e-02	-2.30	-4.3043	-0.19792804	TMBIM6	transmembrane BAX inhibitor motif containing 6
207170_s_at	0.200989	4.61e-02	-2.30	-4.30514	-0.23681491	LETMD1	LETM1 domain containing 1
204532_x_at	0.20111	4.61e-02	2.30	-4.30598	0.21269946	UGT1A1///UGT1A4///UGT1A9///UGT1A6///UGT1A8///UGT1A10	UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10
218185_s_at	0.20111	4.61e-02	-2.30	-4.30611	-0.21927832	ARMC1	armadillo repeat containing 1
210912_x_at	0.20111	4.62e-02	-2.30	-4.3068	-0.35719403	GSTM4	glutathione S-transferase mu 4
219711_at	0.20111	4.62e-02	-2.30	-4.30689	-0.19479989	ZNF586	zinc finger protein 586
219741_x_at	0.20111	4.62e-02	2.30	-4.30701	0.32305208	ZNF552	zinc finger protein 552
207649_at	0.20111	4.62e-02	2.30	-4.30714	0.2816584	KRT37	keratin 37
203518_at	0.20111	4.62e-02	-2.30	-4.3073	-0.43370765	LYST	lysosomal trafficking regulator
210565_at	0.20111	4.62e-02	2.30	-4.30731	0.206027	GCGR	glucagon receptor
217353_at	0.20111	4.62e-02	2.30	-4.30738	0.2224322		
218724_s_at	0.201218	4.62e-02	2.29	-4.30808	0.59804904	TGIF2	TGFB induced factor homeobox 2
202151_s_at	0.201306	4.63e-02	2.29	-4.30868	0.21478922	UBAC1	UBA domain containing 1
204081_at	0.201386	4.63e-02	2.29	-4.30931	0.21228811	NRGN	neurogranin
200883_at	0.201386	4.63e-02	-2.29	-4.30943	-0.30807912	UQCRC2	ubiquinol-cytochrome c reductase core protein II
201249_at	0.201412	4.63e-02	2.29	-4.30987	0.35401626	SLC2A1	solute carrier family 2 member 1
207708_at	0.201412	4.63e-02	2.29	-4.30992	0.28827473	ALOXE3	arachidonate lipoxygenase 3
209401_s_at	0.201588	4.64e-02	-2.29	-4.31118	-0.30360485	SLC12A4	solute carrier family 12 member 4
217532_x_at	0.201588	4.64e-02	2.29	-4.31126	0.19130856		
211795_s_at	0.201588	4.64e-02	2.29	-4.3113	0.17471833	FYB	FYN binding protein
218488_at	0.201841	4.65e-02	-2.29	-4.31268	-0.22204558	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma
208509_s_at	0.201846	4.65e-02	2.29	-4.31289	0.21281405	OR7A17	olfactory receptor family 7 subfamily A member 17
214466_at	0.201884	4.65e-02	2.29	-4.31325	0.16432673	GJA5	gap junction protein alpha 5
212475_at	0.202019	4.65e-02	-2.29	-4.31407	-0.30156241	AVL9	AVL9 cell migration associated
49306_at	0.202154	4.66e-02	-2.29	-4.31489	-0.54287438	RASSF4	Ras association domain family member 4
204554_at	0.202219	4.66e-02	-2.29	-4.31538	-0.31525975	PPP1R3D	protein phosphatase 1 regulatory subunit 3D
218065_s_at	0.202292	4.66e-02	-2.29	-4.316	-0.25316685	TMEM9B	TMEM9 domain family member B
206575_at	0.202292	4.66e-02	2.29	-4.31609	0.21651094	CDKL5	cyclin dependent kinase like 5
215526_at	0.202329	4.67e-02	2.29	-4.31671	0.1992048		
217685_at	0.202329	4.67e-02	2.29	-4.31702	0.28589627		
209421_at	0.202329	4.67e-02	-2.29	-4.31796	-0.38248069	MSH2	mutS homolog 2
216798_at	0.202329	4.67e-02	2.29	-4.3182	0.23306243	FLJ23519///RNH1	uncharacterized protein FLJ23519///ribonuclease/angiogenin inhibitor 1
202375_at	0.202329	4.67e-02	2.29	-4.31826	0.36115771	SEC24D	SEC24 homolog D, COPII coat complex component
214553_s_at	0.202329	4.68e-02	-2.29	-4.31873	-0.42009468	ARPP19	cAMP regulated phosphoprotein 19
206449_s_at	0.202329	4.68e-02	-2.29	-4.31892	-0.46317112	MASP1	mannan binding lectin serine peptidase 1
211379_x_at	0.202329	4.68e-02	-2.29	-4.31898	-0.6521357	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)
209028_s_at	0.202329	4.68e-02	-2.29	-4.319	-0.22109535	ABI1	abl interactor 1
207505_at	0.202329	4.68e-02	-2.29	-4.31908	-0.68343805	PRKG2	protein kinase, cGMP-dependent, type II
211965_at	0.202329	4.68e-02	2.29	-4.31915	0.66354662	ZFP36L1	ZFP36 ring finger protein like 1
216511_s_at	0.202329	4.68e-02	-2.29	-4.31917	-0.54758364	TCF7L2	transcription factor 7 like 2
201912_s_at	0.202329	4.68e-02	2.29	-4.31932	0.32124844	GSPT1	G1 to S phase transition 1
215603_x_at	0.202329	4.68e-02	2.29	-4.31937	0.20552427	LOC102724197///LOC100132705///GGT2///GGTLC1///GGTLC2///GGT3P///GGT1	inactive gamma-glutamyltranspeptidase 2-like///immunoglobulin superfamily member 3-like///gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 3 pseudogene///gamma-glutamyltransferase 1
207209_at	0.202329	4.68e-02	2.29	-4.31944	0.22723309	CETN1	centrin 1
220200_s_at	0.202329	4.68e-02	2.29	-4.31944	0.24682638	KMT5A	lysine methyltransferase 5A
205112_at	0.202329	4.68e-02	-2.29	-4.31944	-0.55152207	PLCE1	phospholipase C epsilon 1
207764_s_at	0.202329	4.68e-02	-2.29	-4.31958	-0.30352172	HIPK3	homeodomain interacting protein kinase 3
207580_at	0.202581	4.69e-02	-2.29	-4.32109	-0.17623536	MAGEB4	MAGE family member B4
214570_x_at	0.202581	4.69e-02	2.29	-4.32113	0.19849269	LOC102725315///LOC102725072///LOC727983///POM121L10P///POM121L4P///POM121L8P///POM121L9P///POM121L1P	putative POM121-like protein 1-like///uncharacterized LOC102725072///putative POM121-like protein 1-like///POM121 transmembrane nucleoporin like 10, pseudogene///POM121 transmembrane nucleoporin like 4, pseudogene///POM121 transmembrane nucleoporin like 8, pseudogene///POM121 transmembrane nucleoporin like 9, pseudogene///POM121 transmembrane nucleoporin like 1, pseudogene
213147_at	0.202599	4.69e-02	2.29	-4.32149	0.20195309	HOXA10	homeobox A10
207222_at	0.202599	4.69e-02	2.29	-4.32158	0.20944456	LOC100652777///PLA2G10	group 10 secretory phospholipase A2-like///phospholipase A2 group X
216472_at	0.202601	4.69e-02	-2.29	-4.32178	-0.39860925		
213882_at	0.202682	4.69e-02	-2.29	-4.32234	-0.3628135	TM2D1	TM2 domain containing 1
206809_s_at	0.202798	4.70e-02	-2.29	-4.32326	-0.18638727	HNRNPA3///HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3///heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
221969_at	0.202798	4.70e-02	2.29	-4.32358	0.18659645	PAX5	paired box 5
206383_s_at	0.202798	4.70e-02	-2.29	-4.32358	-0.41295069	G3BP2	G3BP stress granule assembly factor 2
211800_s_at	0.202798	4.70e-02	-2.29	-4.32362	-0.21690058	USP4	ubiquitin specific peptidase 4
205830_at	0.202799	4.70e-02	-2.28	-4.3239	-1.70442989	CLGN	calmegin
206173_x_at	0.202799	4.70e-02	-2.28	-4.32399	-0.17084538	GABPB1	GA binding protein transcription factor beta subunit 1
219899_x_at	0.202869	4.70e-02	2.28	-4.3245	0.14794821	NDOR1	NADPH dependent diflavin oxidoreductase 1
210871_x_at	0.202978	4.71e-02	-2.28	-4.32537	-0.43590873	SSX2IP	SSX family member 2 interacting protein
201911_s_at	0.202978	4.71e-02	2.28	-4.32538	0.29386019	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
200914_x_at	0.203041	4.71e-02	2.28	-4.32586	0.26322146	KTN1	kinectin 1
217043_s_at	0.20319	4.71e-02	-2.28	-4.32678	-0.35790681	MFN1	mitofusin 1
219547_at	0.20319	4.72e-02	-2.28	-4.32701	-0.2541182	COX15	COX15, cytochrome c oxidase assembly homolog
214260_at	0.20319	4.72e-02	-2.28	-4.3271	-0.31252175	COPS8	COP9 signalosome subunit 8
206619_at	0.203352	4.72e-02	2.28	-4.32811	0.20835462	DKK4	dickkopf WNT signaling pathway inhibitor 4
209149_s_at	0.203352	4.72e-02	-2.28	-4.32833	-0.28550324	TM9SF1	transmembrane 9 superfamily member 1
204567_s_at	0.203352	4.72e-02	2.28	-4.32859	0.15179981	ABCG1	ATP binding cassette subfamily G member 1
213571_s_at	0.203352	4.72e-02	2.28	-4.32864	0.19910692	EIF4E2	eukaryotic translation initiation factor 4E family member 2
220904_at	0.203352	4.72e-02	2.28	-4.32877	0.19514992	LINC00574	long intergenic non-protein coding RNA 574
207838_x_at	0.203385	4.73e-02	-2.28	-4.32911	-0.21663854	PBXIP1	PBX homeobox interacting protein 1
208878_s_at	0.203397	4.73e-02	-2.28	-4.32945	-0.26062843	PAK2	p21 (RAC1) activated kinase 2
210738_s_at	0.203397	4.73e-02	-2.28	-4.32972	-0.43860338	SLC4A4	solute carrier family 4 member 4
218362_s_at	0.203397	4.73e-02	-2.28	-4.32979	-0.47397182	DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease
210304_at	0.203397	4.73e-02	2.28	-4.3299	0.17629321	PDE6B	phosphodiesterase 6B
215680_at	0.203402	4.73e-02	2.28	-4.33011	0.24366653	KIAA1654	KIAA1654 protein
204497_at	0.203448	4.73e-02	-2.28	-4.3305	-0.27019545	ADCY9	adenylate cyclase 9
213636_at	0.203464	4.73e-02	2.28	-4.33076	0.17846447	PHF24	PHD finger protein 24
214445_at	0.203506	4.74e-02	-2.28	-4.33114	-0.31176574	ELL2	elongation factor for RNA polymerase II 2
36829_at	0.203616	4.74e-02	2.28	-4.33183	0.24722314	MIR6883///PER1	microRNA 6883///period circadian clock 1
218639_s_at	0.203624	4.74e-02	-2.28	-4.33205	-0.40135152	ZXDC	ZXD family zinc finger C
214391_x_at	0.203748	4.74e-02	2.28	-4.33281	0.22166584	PTGER1	prostaglandin E receptor 1
219372_at	0.20387	4.75e-02	-2.28	-4.33358	-0.36922494	IFT81	intraflagellar transport 81
216282_x_at	0.20387	4.75e-02	2.28	-4.33375	0.18252402	POLR2C	RNA polymerase II subunit C
203883_s_at	0.203888	4.75e-02	-2.28	-4.33401	-0.49451231	RAB11FIP2	RAB11 family interacting protein 2
221661_at	0.203922	4.75e-02	2.28	-4.33455	0.17780023	SLC22A7	solute carrier family 22 member 7
37802_r_at	0.203922	4.75e-02	-2.28	-4.33469	-0.31645532	FAM63B	family with sequence similarity 63 member B
200013_at	0.203922	4.75e-02	-2.28	-4.33472	-0.15299648	RPL24	ribosomal protein L24
221714_s_at	0.203984	4.76e-02	2.28	-4.33521	0.19610861	RRN3P1	RRN3 homolog, RNA polymerase I transcription factor pseudogene 1
205785_at	0.203984	4.76e-02	2.28	-4.33537	0.13946252	ITGAM	integrin subunit alpha M
220152_at	0.204276	4.77e-02	2.28	-4.33691	0.22161713	C10orf95	chromosome 10 open reading frame 95
205747_at	0.204507	4.77e-02	2.28	-4.33816	0.20516143	CBLN1	cerebellin 1 precursor
218623_at	0.204542	4.77e-02	2.28	-4.33853	0.19141545	HMP19	HMP19 protein
215382_x_at	0.204542	4.78e-02	2.28	-4.33883	0.19277581	TPSAB1	tryptase alpha/beta 1
219560_at	0.204542	4.78e-02	2.28	-4.33887	0.32455951	C22orf29///GNB1L	chromosome 22 open reading frame 29///G protein subunit beta 1 like
200908_s_at	0.204828	4.78e-02	2.27	-4.34037	0.2462458	RPLP2	ribosomal protein lateral stalk subunit P2
201506_at	0.204882	4.79e-02	2.27	-4.34096	0.2428684	TGFBI	transforming growth factor beta induced
221017_s_at	0.204882	4.79e-02	2.27	-4.34116	0.196452	LRRC3	leucine rich repeat containing 3
207300_s_at	0.204882	4.79e-02	2.27	-4.34117	0.25373948	F7	coagulation factor VII
214938_x_at	0.205023	4.79e-02	-2.27	-4.34226	-0.13262364	HMGB1	high mobility group box 1
211615_s_at	0.205023	4.79e-02	-2.27	-4.34255	-0.29564706	LRPPRC	leucine rich pentatricopeptide repeat containing
222235_s_at	0.205023	4.79e-02	-2.27	-4.34265	-0.28604282	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2
217294_s_at	0.205023	4.79e-02	-2.27	-4.34269	-0.37957984	ENO1	enolase 1
205852_at	0.205023	4.79e-02	2.27	-4.34274	0.19571368	CDK5R2	cyclin dependent kinase 5 regulatory subunit 2
212435_at	0.2051	4.80e-02	-2.27	-4.34327	-0.20323216	TRIM33	tripartite motif containing 33
219385_at	0.205262	4.80e-02	2.27	-4.34425	0.24181125	SLAMF8	SLAM family member 8
201200_at	0.205262	4.80e-02	-2.27	-4.34439	-0.65261942	CREG1	cellular repressor of E1A stimulated genes 1
205213_at	0.205262	4.80e-02	2.27	-4.34456	0.21292772	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
211189_x_at	0.205294	4.81e-02	2.27	-4.34501	0.28455672	CD84	CD84 molecule
204874_x_at	0.205294	4.81e-02	2.27	-4.34524	0.22150707	BAIAP3	BAI1 associated protein 3
213585_s_at	0.205294	4.81e-02	2.27	-4.34526	0.200969	PDCD2	programmed cell death 2
222069_s_at	0.205319	4.81e-02	2.27	-4.34569	0.16879265	RIN3	Ras and Rab interactor 3
216841_s_at	0.205319	4.81e-02	-2.27	-4.34574	-0.63496632	LOC100129518///SOD2	uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial
201685_s_at	0.205324	4.81e-02	-2.27	-4.34595	-0.20326054	TOX4	TOX high mobility group box family member 4
204978_at	0.205324	4.81e-02	2.27	-4.34612	0.25744119	CLASRP	CLK4 associating serine/arginine rich protein
221683_s_at	0.205336	4.81e-02	2.27	-4.34636	0.45753872	CEP290	centrosomal protein 290
202119_s_at	0.205369	4.82e-02	-2.27	-4.34669	-0.25471839	CPNE3	copine 3
212123_at	0.205478	4.82e-02	-2.27	-4.34742	-0.25559065	TCTN3	tectonic family member 3
213838_at	0.205478	4.82e-02	-2.27	-4.34762	-0.31534403	NOL7	nucleolar protein 7
200096_s_at	0.205478	4.82e-02	-2.27	-4.34774	-0.22505019	ATP6V0E1	ATPase H+ transporting V0 subunit e1
202556_s_at	0.205589	4.82e-02	2.27	-4.34855	0.18983343	MCRS1	microspherule protein 1
204188_s_at	0.205589	4.82e-02	-2.27	-4.34862	-0.25843771	RARG	retinoic acid receptor gamma
210266_s_at	0.205589	4.83e-02	-2.27	-4.34886	-0.28338518	TRIM33	tripartite motif containing 33
216958_s_at	0.205589	4.83e-02	-2.27	-4.34898	-0.21591691	IVD	isovaleryl-CoA dehydrogenase
210151_s_at	0.205601	4.83e-02	2.27	-4.34921	0.30436064	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3
212603_at	0.205677	4.83e-02	-2.27	-4.34974	-0.20571442	MRPS31	mitochondrial ribosomal protein S31
215184_at	0.205684	4.83e-02	-2.27	-4.34996	-0.58163189	DAPK2	death associated protein kinase 2
208719_s_at	0.205785	4.83e-02	2.27	-4.3506	0.72397507	DDX17	DEAD-box helicase 17
217438_at	0.205909	4.84e-02	-2.27	-4.35157	-0.1826457		
